Designator,Mid X,Mid Y,Rotation,Layer
C1,151.7,-66.23,180.0,bottom
C10,154.85,-66.86,270.0,bottom
C11,157.35,-66.86,270.0,bottom
C12,156.05,-66.86,270.0,bottom
C13,136.5,-95.13,180.0,bottom
C14,157.45,-73.0,0.0,bottom
C15,157.45,-79.0,0.0,bottom
C16,116.4,-36.15,270.0,bottom
C17,117.65,-36.15,270.0,bottom
C18,161.45,-69.46,90.0,bottom
C19,174.75,-51.97,90.0,bottom
C2,151.7,-67.48,180.0,bottom
C20,114.35,-95.8,180.0,bottom
C21,124.75,-79.3575,0.0,bottom
C22,112.05,-79.1,0.0,bottom
C23,119.4,-73.5575,90.0,bottom
C24,118.15,-73.5575,90.0,bottom
C25,122.55,-84.8,180.0,bottom
C26,121.5,-73.6075,90.0,bottom
C27,119.2,-87.2,180.0,bottom
C28,124.0,-83.55,270.0,bottom
C29,111.66,-80.4,180.0,bottom
C3,151.7,-68.73,0.0,bottom
C30,112.05,-77.9,0.0,bottom
C31,111.61,-81.6075,0.0,bottom
C32,113.8,-66.1075,0.0,bottom
C33,110.0,-72.6775,270.0,bottom
C34,113.3,-69.6075,180.0,bottom
C35,104.0,-108.0,270.0,top
C36,121.611111,-108.3,270.0,top
C37,139.222222,-108.0,270.0,top
C38,148.027778,-108.3,270.0,top
C39,157.0,-108.05,270.0,top
C4,143.65,-94.93,180.0,bottom
C40,165.638889,-108.0,270.0,top
C41,174.444444,-108.0,270.0,top
C42,112.805556,-108.3,270.0,top
C43,130.5,-108.05,270.0,top
C44,183.25,-108.05,270.0,top
C45,148.027778,-119.1,270.0,top
C46,104.0,-119.1,270.0,top
C47,130.416667,-119.1,270.0,top
C48,183.25,-119.1,270.0,top
C49,174.444444,-119.1,270.0,top
C5,177.8,-85.05,90.0,bottom
C50,165.638889,-119.1,270.0,top
C51,156.833333,-119.1,270.0,top
C52,139.222222,-119.1,270.0,top
C53,112.805556,-119.1,270.0,top
C54,121.611111,-119.1,270.0,top
C55,103.75,-129.4,270.0,top
C56,112.583333,-129.4,270.0,top
C57,121.416667,-129.4,270.0,top
C58,130.25,-129.4,270.0,top
C59,139.0,-129.4,270.0,top
C6,155.75,-92.5,270.0,bottom
C60,147.916667,-129.4,270.0,top
C61,157.0,-129.4,270.0,top
C62,165.583333,-129.4,270.0,top
C63,174.416667,-129.4,270.0,top
C64,183.25,-129.4,270.0,top
C65,121.5,-140.35,270.0,top
C66,130.5,-140.35,270.0,top
C67,139.5,-140.35,270.0,top
C68,148.5,-140.35,270.0,top
C69,157.5,-140.35,270.0,top
C7,152.0,-89.75,180.0,bottom
C70,166.5,-140.35,270.0,top
C8,156.0,-85.05,90.0,bottom
C9,160.75,-64.16,90.0,bottom
CARD1,105.5,-97.0,90.0,bottom
CN1,176.01,-44.77,90.0,bottom
D1,172.78,-87.5,0.0,bottom
D10,171.07,-106.6,180.0,top
D11,179.914444,-106.6,180.0,top
D12,100.316667,-117.5,180.0,top
D13,109.161111,-117.5,180.0,top
D14,118.005556,-117.5,180.0,top
D15,126.85,-117.5,180.0,top
D16,135.694445,-117.5,180.0,top
D17,144.538889,-117.5,180.0,top
D18,153.383334,-117.5,180.0,top
D19,162.227778,-117.5,180.0,top
D2,100.314444,-106.6,180.0,top
D20,171.072223,-117.5,180.0,top
D21,179.916667,-117.5,180.0,top
D22,100.316667,-128.1,180.0,top
D23,109.142593,-128.1,180.0,top
